This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 157  6.6803615e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
 158  6.6804354e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 159  6.6805083e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  6.6805802e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 161  6.6806512e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 162  6.6807211e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 163  6.6807900e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 164  6.6808579e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 165  6.6809246e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 166  6.6832905e-03 1.47e-02 2.04e+03  -0.7 1.08e+00    -  1.00e+00 1.00e+00w  1
 167  6.6849858e-03 1.51e-02 2.20e+03  -0.7 1.14e+00    -  1.00e+00 1.00e+00w  1
 168  6.6847400e-03 1.24e-02 6.46e+04  -0.7 1.29e+00    -  1.00e+00 6.83e-01w  1
 169  6.6809904e-03 1.33e-03 1.97e+05  -0.7 1.20e+00    -  1.00e+00 3.12e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  6.6810550e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 171  6.6811185e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 172  6.6811810e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 173  6.6812423e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 174  6.6813025e-03 1.33e-03 1.97e+05  -0.7 1.08e+00    -  1.00e+00 3.12e-02h  6
 175  6.6813319e-03 1.33e-03 2.00e+05  -0.7 1.08e+00    -  1.00e+00 1.56e-02h  7
 176  6.6813610e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 177  6.6813898e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 178  6.6814183e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 179  6.6834941e-03 1.48e-02 2.08e+03  -0.7 1.09e+00    -  1.00e+00 1.00e+00w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  6.6848772e-03 1.53e-02 2.24e+03  -0.7 1.17e+00    -  1.00e+00 1.00e+00w  1
 181  6.6849281e-03 1.28e-02 5.61e+04  -0.7 1.27e+00    -  1.00e+00 7.24e-01w  1
 182  6.6814465e-03 1.33e-03 2.00e+05  -0.7 1.19e+00    -  1.00e+00 1.56e-02h  6
 183  6.6814744e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 184  6.6815021e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 185  6.6815294e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 186  6.6815565e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 187  6.6815833e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 188  6.6816098e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 189  6.6816360e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  6.6816619e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
 191  6.6816876e-03 1.33e-03 2.00e+05  -0.7 1.09e+00    -  1.00e+00 1.56e-02h  7
